"subj_code","condition","desktop_conf","attent_conf","structure","test_queries","first_caused_rating","second_caused_rating","first_maintained_rating","second_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct"
"0uAdVdA0Hlpe",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 09:59:43",25,"1: male",NA,"correct"
"48ul1BdnhK8v",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 10:01:44",47,"2: female",NA,"correct"
"5sfTvWXrlV9V",1,"1: I confirm","1: I will take it seriously","irreversible","original",6,2,"na","na","No.","2023-10-27 10:01:11",30,"2: female","none","correct"
"8K1FWHAwQzHH",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,4,"na","na","No.","2023-10-27 12:01:09",65,"1: male","Didn't spot anything wrong","correct"
"9yagYlJvX8ks",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 09:11:33",37,"1: male",NA,"correct"
"BNevUBu4TDlp",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 10:01:51",67,"1: male",NA,"correct"
"DfYMjwyQvQFp",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 10:01:23",18,"2: female",NA,"correct"
"dK0ARcFMs6oI",1,"1: I confirm","1: I will take it seriously","irreversible","original",6,0,"na","na","No.","2023-10-27 09:59:33",35,"2: female",NA,"correct"
"jpEksPWBQQcA",1,"1: I confirm","1: I will take it seriously","irreversible","original",7,3,"na","na","No.","2023-10-27 12:01:30",36,"1: male",NA,"correct"
"l6UEGtHHvtp8",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 09:09:03",56,"1: male","None","correct"
"LHzPThXSqcFp",1,"1: I confirm","1: I will take it seriously","irreversible","original",0,8,"na","na","No.","2023-10-27 09:59:14",27,"1: male",NA,"correct"
"lJLWm4FwmKtT",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 10:00:49",63,"1: male",NA,"correct"
"nYgNaK1kEwT7",1,"1: I confirm","1: I will take it seriously","irreversible","original",6,1,"na","na","No.","2023-10-27 12:00:59",64,"2: female",NA,"correct"
"nYMUzWtp8iBe",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,1,"na","na","No.","2023-10-27 09:11:19",37,"1: male","None.","correct"
"oRiGNUXS2mht",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,3,"na","na","No.","2023-10-27 10:00:35",21,"2: female",NA,"correct"
"RhGW8YoXPXBv",1,"1: I confirm","1: I will take it seriously","irreversible","original",6,1,"na","na","No.","2023-10-27 12:01:11",23,"1: male","I haven't encountered any issues. Everything went pretty smooth and without any problems.","correct"
"sHiSjKdmgzKU",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 12:01:19",75,"2: female","did not notice any errors","correct"
"tCUAYams6qjZ",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 12:00:59",72,"2: female","None","correct"
"tTpco1gpMBAB",1,"1: I confirm","1: I will take it seriously","irreversible","original",6,6,"na","na","No.","2023-10-27 10:02:11",22,"2: female",NA,"correct"
"TzDDlOexCqTz",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 12:01:41",46,"2: female",NA,"correct"
"wDl4kE07wGv5",1,"1: I confirm","1: I will take it seriously","irreversible","original",5,5,"na","na","No.","2023-10-27 10:01:41",47,"2: female","none","correct"
"WIwMsu6bG9L4",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 10:00:17",20,"2: female","No errors","correct"
"wSZq7AOF0OG1",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 12:01:57",26,"2: female",NA,"correct"
"xjsNJ4fSh8kR",1,"1: I confirm","1: I will take it seriously","irreversible","original",0,0,"na","na","No.","2023-10-27 12:04:20",49,"1: male",NA,"correct"
"XqC0psl52eEu",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 12:01:09",65,"2: female",NA,"correct"
"1N6exAjWwJZM",2,"1: I confirm","1: I will take it seriously","reversible","original",0,8,"na","na","Yes.","2023-10-27 10:01:45",25,"2: female",NA,"correct"
"2fWAi9rBZYFi",2,"1: I confirm","1: I will take it seriously","reversible","original",0,8,"na","na","Yes.","2023-10-27 12:01:16",53,"2: female",NA,"correct"
"2Lh74IioFbUi",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"na","na","Yes.","2023-10-27 10:01:24",33,"1: male",NA,"correct"
"4AJscgiLfYQo",2,"1: I confirm","1: I will take it seriously","reversible","original",8,8,"na","na","Yes.","2023-10-27 10:01:54",64,"2: female","n/a","correct"
"6Z6dzwepnFPA",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"na","na","Yes.","2023-10-27 10:11:26",72,"1: male",NA,"correct"
"8dofNweI7mXj",2,"1: I confirm","1: I will take it seriously","reversible","original",6,2,"na","na","Yes.","2023-10-27 12:01:04",22,"2: female",NA,"correct"
"b4wONfuaJbM7",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"na","na","Yes.","2023-10-27 10:00:38",33,"1: male",NA,"correct"
"cYSHGmJPFCXL",2,"1: I confirm","1: I will take it seriously","reversible","original",8,8,"na","na","Yes.","2023-10-27 12:01:22",61,"2: female",NA,"correct"
"e3OZi7N9YdmB",2,"1: I confirm","1: I will take it seriously","reversible","original",8,8,"na","na","Yes.","2023-10-27 10:02:10",75,"2: female",NA,"correct"
"FPMEykmJZ8c5",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"na","na","Yes.","2023-10-27 09:09:44",32,"2: female",NA,"correct"
