"subj_code","condition","desktop_conf","attent_conf","structure","test_queries","first_caused_rating","second_caused_rating","first_maintained_rating","second_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct"
"0f3qqXXEvYsB",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-26 15:22:51",48,"2: female",NA,"correct"
"4IU61zPsv6CT",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-26 15:22:40",29,"3: non-binary",NA,"correct"
"5AUT9ENMmLFA",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-26 15:24:11",27,"1: male",NA,"correct"
"aDhEmAFyFRwN",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-26 15:22:46",48,"2: female","none","correct"
"aLXTjSV1vtO4",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-26 15:22:05",28,"2: female",NA,"correct"
"avL2Z3UoIlbt",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,4,"na","na","No.","2023-10-26 15:23:05",51,"2: female",NA,"correct"
"dxDayZkkx95F",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,8,"na","na","No.","2023-10-26 15:23:21",23,"2: female",NA,"correct"
"EB7FnXAJhm8Y",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,8,"na","na","No.","2023-10-27 05:18:33",24,"2: female","n/a","correct"
"Efua7H7wcaJd",1,"1: I confirm","1: I will take it seriously","irreversible","original",4,0,"na","na","No.","2023-10-26 14:34:43",19,"1: male",NA,"correct"
"gHqaFnSpOkPE",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-26 15:23:50",35,"1: male","Nil","correct"
"H95ZRGdVq31d",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,8,"na","na","No.","2023-10-27 05:17:07",28,"2: female","N/A","correct"
"IuMsbAg9Pg4z",1,"1: I confirm","1: I will take it seriously","irreversible","original",7,3,"na","na","No.","2023-10-26 15:04:37",31,"1: male",NA,"correct"
"M16ZiHM1jwWS",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,1,"na","na","No.","2023-10-26 15:21:57",44,"2: female",NA,"correct"
"MaQwvCeWUhqp",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,8,"na","na","No.","2023-10-26 15:21:18",60,"2: female",NA,"correct"
"Ov7pdv3DM346",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,8,"na","na","No.","2023-10-27 05:17:43",35,"2: female",NA,"correct"
"sL9YrKiLFy97",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,8,"na","na","No.","2023-10-26 15:23:30",52,"1: male","None","correct"
"Vjf2ubXAUjuK",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 05:18:26",60,"1: male","no","correct"
"wIIODPnNbfFH",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-26 15:04:48",28,"1: male",NA,"correct"
"Z8Eqqc05S9iS",1,"1: I confirm","1: I will take it seriously","irreversible","original",8,0,"na","na","No.","2023-10-27 05:17:47",39,"1: male",NA,"correct"
"1dHpE9vi3xvL",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"8",NA,"Yes.","2023-10-26 14:33:20",74,"2: female",NA,"correct"
"20aZqV82RK6T",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"8","0","Yes.","2023-10-26 15:24:16",64,"1: male",NA,"correct"
"2paeslI3Ue47",2,"1: I confirm","1: I will take it seriously","reversible","original",7,2,"na","na","Yes.","2023-10-27 05:18:39",40,"1: male","Nothing","correct"
"8XpfisdIMosZ",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"8","8","Yes.","2023-10-26 15:23:47",42,"1: male","N/a","correct"
"9TW630nbikhx",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"7","1","Yes.","2023-10-26 15:21:43",44,"2: female","none","correct"
"BfdVt1TefUgC",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"na","na","Yes.","2023-10-27 05:17:24",33,"1: male","took a few reads to get my head around it, but I do suppose that is the point","correct"
"BklZY5Ba64oB",2,"1: I confirm","1: I will take it seriously","reversible","original",8,3,"8",NA,"Yes.","2023-10-26 14:32:20",27,"2: female","No","correct"
"CfDFpddZ8YrQ",2,"1: I confirm","1: I will take it seriously","reversible","original",7,2,"7","2","Yes.","2023-10-26 15:22:08",63,"2: female","n/a","correct"
"d2hVku0mwNiE",2,"1: I confirm","1: I will take it seriously","reversible","original",8,0,"8","8","Yes.","2023-10-26 15:22:03",65,"1: male","All Good","correct"
