"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_left","learn_check_right","left_caused_rating","right_caused_rating","left_maintained_rating","right_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct"
"BNZWwVyiwGOp",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,0,10,"The left male swam to the female first.","2023-10-26 07:30:27",60,"2: female",NA,"correct","correct","correct","correct"
"mW0pbGitv1md",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,4,1,"The left male swam to the female first.","2023-10-26 07:31:29",50,"1: male",NA,"correct","correct","correct","correct"
"b0l9chsjUtud",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,10,0,"The right male swam to the female first.","2023-10-26 07:31:34",26,"1: male","No errors detected.","correct","correct","correct","correct"
"n1dz4BropxAg",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,10,10,6,"The right male swam to the female first.","2023-10-26 07:33:59",23,"2: female","Nothing.","correct","correct","correct","correct"
"9T3vBiFcqoRF",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",7,10,10,0,"The right male swam to the female first.","2023-10-26 07:35:23",34,"1: male",NA,"correct","correct","correct","correct"
"ESt3MinZx6xZ",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",9,9,1,10,"The left male swam to the female first.","2023-10-26 07:37:21",50,"2: female",NA,"correct","correct","correct","correct"
"CT5VZ3N9uFSV",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,5,10,"The right male swam to the female first.","2023-10-26 07:38:45",41,"1: male",NA,"correct","correct","correct","correct"
"tLnKfoBdERm8",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,1,9,9,"The right male swam to the female first.","2023-10-26 07:39:13",40,"2: female","None","incorrect","correct","correct","correct"
"kZDB17IFobVy",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",1,8,10,0,"The right male swam to the female first.","2023-10-26 07:39:15",39,"1: male","No issues","correct","correct","correct","correct"
"tOa6fv7LNhaf",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",9,4,2,6,"The left male swam to the female first.","2023-10-26 07:44:31",34,"2: female",NA,"correct","correct","correct","correct"
"qgkNeSj4HARR",3,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,10,0,0,"The left male swam to the female first.","2023-10-26 07:44:35",52,"2: female",NA,"correct","correct","correct","correct"
"p07tTFzNjp8Q",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,10,10,0,"The right male swam to the female first.","2023-10-26 07:44:41",60,"1: male",NA,"correct","correct","correct","correct"
"CD4GkF8RHp1M",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,10,7,7,"The right male swam to the female first.","2023-10-26 07:45:04",35,"2: female","None","correct","correct","correct","correct"
"xBw8H1F2DRfr",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,0,10,"The left male swam to the female first.","2023-10-26 07:45:14",49,"1: male",NA,"correct","correct","correct","correct"
"jVaVrmbxdsDV",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",9,9,1,9,"The left male swam to the female first.","2023-10-26 07:45:39",31,"1: male",NA,"correct","correct","correct","correct"
"eCNhUkrkYkqx",3,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,0,0,10,"The left male swam to the female first.","2023-10-26 07:45:52",32,"1: male","no issues","correct","correct","correct","correct"
"F8jjd7AG2cyL",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,10,10,"The right male swam to the female first.","2023-10-26 07:46:10",37,"2: female",NA,"incorrect","correct","correct","correct"
