"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_left","learn_check_right","left_caused_rating","right_caused_rating","left_maintained_rating","right_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct"
"5YhgQVbENAeJ",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,1,2,2,"The left male swam to the female first.","2023-10-25 11:17:46",34,"2: female","Non.","correct","correct","correct","correct"
"7Q6VSNURKXf2",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,10,10,10,"The left male swam to the female first.","2023-10-25 11:17:07",51,"2: female","no errors thank you :)","correct","correct","correct","correct"
"ABphUYEsR0pi",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,2,0,"The left male swam to the female first.","2023-10-25 09:52:08",29,"2: female","N/A","correct","correct","correct","correct"
"aZnejGoIL7o1",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,9,0,"The left male swam to the female first.","2023-10-25 10:02:06",58,"2: female",NA,"correct","correct","correct","correct"
"cAPRjwEPY936",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,1,2,2,"The left male swam to the female first.","2023-10-25 10:04:11",64,"2: female",NA,"correct","correct","correct","correct"
"cr4ztpseg4C5",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,0,10,"The left male swam to the female first.","2023-10-25 11:17:16",55,"2: female","no errors or technical issues","correct","correct","correct","correct"
"gjRMa4ZsMbLn",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,0,0,"The left male swam to the female first.","2023-10-25 11:16:52",41,"2: female",NA,"correct","correct","correct","correct"
"JgXi47XoOZsQ",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,0,0,"The left male swam to the female first.","2023-10-25 10:12:43",22,"2: female",NA,"correct","correct","correct","correct"
"jwtEHovk0tcz",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,2,10,"The left male swam to the female first.","2023-10-25 10:02:29",31,"2: female",NA,"correct","correct","correct","correct"
"KI5oVqo6784J",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,10,0,"The left male swam to the female first.","2023-10-25 11:17:14",64,"2: female",NA,"correct","correct","correct","correct"
"lAtbB4w1IZjC",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,8,0,"The left male swam to the female first.","2023-10-25 11:17:29",25,"1: male",NA,"correct","correct","correct","correct"
"mX3dmOS9zksL",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,0,10,0,"The left male swam to the female first.","2023-10-25 11:17:12",66,"2: female",NA,"correct","correct","correct","correct"
