"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","test_statement_type","test_statement","learn_check_left","learn_check_right","statement_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct"
"0hzIn0whp8PR",13,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","trigger_first","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 21:47:42",23,"2: female",NA,"correct","correct","correct","correct"
"qY4HXUvNgB1s",10,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_second","The right male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-09 21:48:14",23,"1: male","-","correct","correct","correct","correct"
"bwvyI8nd6bed",8,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","maintainer_second","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 21:48:24",26,"1: male",NA,"correct","correct","correct","correct"
"f9LitU7dAX1Q",15,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","right","maintainer_first","The right male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The right male swam to the female first.","2024-01-09 21:48:25",22,"1: male",NA,"correct","correct","correct","correct"
"Tmc8WHdAc3xj",9,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","trigger_first","The left male turned the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",10,"The left male swam to the female first.","2024-01-09 21:48:28",24,"2: female","N/A","correct","correct","correct","correct"
"q2hYJ4wfYZIc",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_first","The left male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",10,"The left male swam to the female first.","2024-01-09 21:48:37",47,"1: male","None at all","correct","correct","correct","correct"
"USSAMHwmY5e7",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","left","maintainer_second","The right male kept the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The left male swam to the female first.","2024-01-09 21:50:47",21,"2: female",NA,"correct","correct","correct","correct"
"ansMjwxxbarS",5,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_first","The right male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",8,"The right male swam to the female first.","2024-01-09 21:50:57",21,"1: male","no issues","correct","correct","correct","correct"
"PluvY25p0xQZ",11,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","reversible","left","maintainer_first","The left male kept the female purple.","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, she turned back to her natural brown.",0,"The left male swam to the female first.","2024-01-09 21:54:36",35,"1: male",NA,"correct","correct","correct","correct"
"VgdCMWQThtsf",6,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","irreversible","right","trigger_second","The left male turned the female purple.","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.",0,"The right male swam to the female first.","2024-01-09 21:55:05",22,"1: male",NA,"correct","correct","correct","correct"
